"file","source","row","col","width","height","avg_brightness","stddev"
"vitorino_185139_r2c3.jpg","Captura de tela 2026-07-23 185139.png","2","3","1080","1350","25,06","28,64"
"vitorino_185139_r2c4.jpg","Captura de tela 2026-07-23 185139.png","2","4","1080","1350","28,34","41,19"
"vitorino_185148_r1c1.jpg","Captura de tela 2026-07-23 185148.png","1","1","1080","1350","20,13","22,2"
"vitorino_185148_r1c2.jpg","Captura de tela 2026-07-23 185148.png","1","2","1080","1350","18,66","30,95"
"vitorino_185148_r1c3.jpg","Captura de tela 2026-07-23 185148.png","1","3","1080","1350","26,75","40,77"
"vitorino_185148_r1c4.jpg","Captura de tela 2026-07-23 185148.png","1","4","1080","1350","43,4","57,78"
"vitorino_185148_r2c1.jpg","Captura de tela 2026-07-23 185148.png","2","1","1080","1350","32,62","48,07"
"vitorino_185148_r2c2.jpg","Captura de tela 2026-07-23 185148.png","2","2","1080","1350","22,88","33,5"
"vitorino_185148_r2c3.jpg","Captura de tela 2026-07-23 185148.png","2","3","1080","1350","43,25","58,05"
"vitorino_185148_r2c4.jpg","Captura de tela 2026-07-23 185148.png","2","4","1080","1350","18,68","22,98"
"vitorino_185157_r1c1.jpg","Captura de tela 2026-07-23 185157.png","1","1","1080","1350","22,13","43,45"
"vitorino_185157_r1c2.jpg","Captura de tela 2026-07-23 185157.png","1","2","1080","1350","37,52","44,12"
"vitorino_185157_r1c3.jpg","Captura de tela 2026-07-23 185157.png","1","3","1080","1350","26,79","39,4"
"vitorino_185157_r1c4.jpg","Captura de tela 2026-07-23 185157.png","1","4","1080","1350","27,36","36,97"
"vitorino_185157_r2c1.jpg","Captura de tela 2026-07-23 185157.png","2","1","1080","1350","27,19","33,75"
"vitorino_185157_r2c2.jpg","Captura de tela 2026-07-23 185157.png","2","2","1080","1350","30,91","45,14"
"vitorino_185157_r2c3.jpg","Captura de tela 2026-07-23 185157.png","2","3","1080","1350","35,21","49,61"
"vitorino_185157_r2c4.jpg","Captura de tela 2026-07-23 185157.png","2","4","1080","1350","41,97","59,35"
"vitorino_185209_r1c1.jpg","Captura de tela 2026-07-23 185209.png","1","1","1080","1350","31,38","50,84"
"vitorino_185209_r1c2.jpg","Captura de tela 2026-07-23 185209.png","1","2","1080","1350","49,63","61,94"
"vitorino_185209_r1c3.jpg","Captura de tela 2026-07-23 185209.png","1","3","1080","1350","39,04","46,96"
"vitorino_185209_r1c4.jpg","Captura de tela 2026-07-23 185209.png","1","4","1080","1350","36,61","48,73"
"vitorino_185209_r2c1.jpg","Captura de tela 2026-07-23 185209.png","2","1","1080","1350","34,18","47,6"
"vitorino_185209_r2c2.jpg","Captura de tela 2026-07-23 185209.png","2","2","1080","1350","26,1","46,36"
"vitorino_185209_r2c3.jpg","Captura de tela 2026-07-23 185209.png","2","3","1080","1350","60,07","62,86"
"vitorino_185209_r2c4.jpg","Captura de tela 2026-07-23 185209.png","2","4","1080","1350","30,04","40,19"
"vitorino_185221_r1c1.jpg","Captura de tela 2026-07-23 185221.png","1","1","1080","1350","65,12","69,06"
"vitorino_185221_r1c2.jpg","Captura de tela 2026-07-23 185221.png","1","2","1080","1350","47,68","62,38"
"vitorino_185221_r1c3.jpg","Captura de tela 2026-07-23 185221.png","1","3","1080","1350","43,14","62,52"
"vitorino_185221_r1c4.jpg","Captura de tela 2026-07-23 185221.png","1","4","1080","1350","35,28","48,35"
"vitorino_185221_r2c1.jpg","Captura de tela 2026-07-23 185221.png","2","1","1080","1350","50,73","71,94"
"vitorino_185221_r2c2.jpg","Captura de tela 2026-07-23 185221.png","2","2","1080","1350","30,45","36,1"
"vitorino_185221_r2c3.jpg","Captura de tela 2026-07-23 185221.png","2","3","1080","1350","34,36","45,5"
"vitorino_185221_r2c4.jpg","Captura de tela 2026-07-23 185221.png","2","4","1080","1350","23,52","36,85"
"vitorino_185232_r1c1.jpg","Captura de tela 2026-07-23 185232.png","1","1","1080","1350","40,15","52,78"
